language,name,percentage
"Creole English",Grenada,100.0
Faroese,"Faroe Islands",100.0
Italian,"San Marino",100.0
Spanish,"El Salvador",100.0
"Haiti Creole",Haiti,100.0
Rwanda,Rwanda,100.0
Arabic,"Western Sahara",100.0
English,Bermuda,100.0
Dhivehi,Maldives,100.0
"Creole English",Dominica,100.0
Crioulo,"Cape Verde",100.0
"Creole English","Saint Kitts and Nevis",100.0
Spanish,Cuba,100.0
Korean,"North Korea",99.9
Korean,"South Korea",99.9
Arabic,Yemen,99.6
Serbo-Croatian,"Bosnia and Herzegovina",99.2
"Creole English","Saint Vincent and the Grenadines",99.1
Japanese,Japan,99.1
Spanish,Colombia,99.0
Portuguese,Portugal,99.0
Kiribati,Kiribati,98.9
Malagasy,Madagascar,98.9
Arabic,Egypt,98.8
Hungarian,Hungary,98.5
Greek,Greece,98.5
English,Ireland,98.4
Somali,Somalia,98.3
Tongan,Tonga,98.3
Kirundi,Burundi,98.1
Spanish,"Dominican Republic",98.0
Albaniana,Albania,97.9
Arabic,Jordan,97.9
Bengali,Bangladesh,97.7
Spanish,Nicaragua,97.6
Polish,Poland,97.6
Portuguese,Brazil,97.5
Spanish,"Costa Rica",97.5
English,"United Kingdom",97.3
Spanish,Honduras,97.2
Spanish,Venezuela,96.9
Spanish,Argentina,96.8
Marshallese,"Marshall Islands",96.8
Norwegian,Norway,96.6
"Creole French",Martinique,96.6
"Creole English",Guyana,96.4
Arabic,"Libyan Arab Jamahiriya",96.0
Arabic,Palestine,95.9
Serbo-Croatian,Croatia,95.9
Maltese,Malta,95.8
Icelandic,Iceland,95.7
"Creole English","Antigua and Barbuda",95.7
Spanish,Uruguay,95.7
Dutch,Netherlands,95.6
Bajan,Barbados,95.1
Arabic,"Saudi Arabia",95.0
"Creole French",Guadeloupe,95.0
"Creole French","French Guiana",94.3
"Creole English",Jamaica,94.2
Italian,Italy,94.1
French,France,93.6
Danish,Denmark,93.5
English,"Trinidad and Tobago",93.5
Armenian,Armenia,93.4
Arabic,Lebanon,93.0
Spanish,Ecuador,93.0
Finnish,Finland,92.7
Tuvalu,Tuvalu,92.5
Spanish,Mexico,92.1
Chinese,China,92.0
German,Austria,92.0
"Creole French",R̩union,91.5
German,Germany,91.3
Seselwa,Seychelles,91.3
Romanian,Romania,90.7
Samoan,"American Samoa",90.6
Arabic,Syria,90.0
Swazi,Swaziland,89.9
Spanish,Chile,89.7
"Creole English",Bahamas,89.7
Swedish,Sweden,89.5
